datetime,open,high,low,close,volume
2026-08-13 20:00:00,1.15288,1.15301,1.15263,1.1529,0
2026-08-13 21:00:00,1.15283,1.15314,1.15265,1.15281,0
2026-08-13 22:00:00,1.15281,1.15318,1.15281,1.15316,0
2026-08-13 23:00:00,1.15316,1.15344,1.15315,1.1534,0
2026-08-14 00:00:00,1.1534,1.15392,1.15337,1.15384,0
2026-08-14 01:00:00,1.15384,1.15384,1.15322,1.1534,0
2026-08-14 02:00:00,1.15341,1.15374,1.15336,1.15345,0
2026-08-14 03:00:00,1.15344,1.15393,1.1534,1.15372,0
2026-08-14 04:00:00,1.15372,1.15404,1.15368,1.15388,0
2026-08-14 05:00:00,1.15388,1.15427,1.15384,1.15418,0
2026-08-14 06:00:00,1.15419,1.15445,1.15389,1.15445,0
2026-08-14 07:00:00,1.15445,1.15512,1.15432,1.15509,0
2026-08-14 08:00:00,1.15509,1.15577,1.15505,1.15559,0
2026-08-14 09:00:00,1.15558,1.15569,1.15511,1.15547,0
2026-08-14 10:00:00,1.15547,1.15562,1.15522,1.15556,0
2026-08-14 11:00:00,1.15556,1.15719,1.15556,1.15654,0
2026-08-14 12:00:00,1.15654,1.15785,1.15631,1.15662,0
2026-08-14 13:00:00,1.15661,1.15843,1.15622,1.15804,0
2026-08-14 14:00:00,1.15805,1.15854,1.15772,1.15808,0
2026-08-14 15:00:00,1.15807,1.15852,1.15772,1.15801,0
2026-08-14 16:00:00,1.15803,1.15819,1.15703,1.15711,0
2026-08-14 17:00:00,1.15711,1.15712,1.1563,1.15647,0
2026-08-14 18:00:00,1.15648,1.1567,1.15633,1.15655,0
2026-08-14 19:00:00,1.15655,1.15691,1.15646,1.15684,0
2026-08-14 20:00:00,1.15684,1.15698,1.15674,1.15692,0
2026-08-17 00:00:00,1.15737,1.15809,1.15737,1.15805,0
2026-08-17 01:00:00,1.15802,1.15837,1.15782,1.15835,0
2026-08-17 02:00:00,1.15836,1.15844,1.15791,1.15799,0
2026-08-17 03:00:00,1.15798,1.15837,1.15786,1.15836,0
2026-08-17 04:00:00,1.15836,1.15881,1.15828,1.15848,0
2026-08-17 05:00:00,1.15848,1.15893,1.15829,1.15873,0
2026-08-17 06:00:00,1.15872,1.15968,1.15836,1.15958,0
2026-08-17 07:00:00,1.15958,1.16119,1.15929,1.16061,0
2026-08-17 08:00:00,1.16066,1.16141,1.15955,1.1599,0
2026-08-17 09:00:00,1.15989,1.16025,1.1596,1.15969,0
2026-08-17 10:00:00,1.15969,1.15983,1.15896,1.15905,0
2026-08-17 11:00:00,1.15904,1.15954,1.15877,1.15924,0
2026-08-17 12:00:00,1.15924,1.15978,1.15873,1.15976,0
2026-08-17 13:00:00,1.15976,1.15998,1.15879,1.15947,0
2026-08-17 14:00:00,1.15947,1.15992,1.15862,1.15868,0
2026-08-17 15:00:00,1.15868,1.15901,1.15817,1.15901,0
2026-08-17 16:00:00,1.15901,1.15919,1.15852,1.15884,0
2026-08-17 17:00:00,1.15884,1.15897,1.15762,1.15773,0
2026-08-17 18:00:00,1.15773,1.15785,1.15711,1.15725,0
2026-08-17 19:00:00,1.15726,1.15806,1.15723,1.15789,0
2026-08-17 20:00:00,1.15789,1.15808,1.15773,1.15808,0
2026-08-17 21:00:00,1.15813,1.15849,1.1578,1.15781,0
2026-08-17 22:00:00,1.1578,1.15803,1.15778,1.15788,0
2026-08-17 23:00:00,1.15788,1.15837,1.15783,1.15828,0
2026-08-18 00:00:00,1.15828,1.1585,1.15778,1.15826,0
2026-08-18 01:00:00,1.15825,1.15859,1.15789,1.15795,0
2026-08-18 02:00:00,1.15797,1.15805,1.15753,1.15803,0
2026-08-18 03:00:00,1.15803,1.15803,1.15717,1.15734,0
2026-08-18 04:00:00,1.15733,1.15749,1.15701,1.15716,0
2026-08-18 05:00:00,1.15716,1.15743,1.15694,1.15731,0
